Time step, vx, vy, vz, normv
94000,2.214664e-05,2.316761e-05,0.0002591344,0.0002611089
95000,2.045636e-05,2.274196e-05,0.0002610994,0.0002628851
96000,1.936532e-05,2.147553e-05,0.0002628573,0.0002644432
97000,1.773738e-05,1.986236e-05,0.0002617438,0.0002630949
98000,1.560374e-05,1.963984e-05,0.0002621788,0.000263376
99000,1.35451e-05,1.814742e-05,0.00026301,0.0002639831
100000,1.200075e-05,1.620785e-05,0.0002637319,0.0002645018
101000,1.06417e-05,1.542474e-05,0.000264169,0.0002648328
102000,8.528685e-06,1.430921e-05,0.0002644472,0.0002649713
103000,6.981894e-06,1.329523e-05,0.0002619346,0.0002623647
104000,5.698297e-06,1.029558e-05,0.0002624395,0.0002627031
105000,4.131234e-06,9.144303e-06,0.0002645143,0.0002647045
106000,2.340031e-06,9.351653e-06,0.0002639419,0.0002641179
107000,1.298284e-06,6.958313e-06,0.0002640367,0.0002641315
108000,-2.382116e-07,4.601889e-06,0.0002626472,0.0002626877
109000,-1.299e-06,3.652597e-06,0.0002636587,0.0002636872
110000,-2.498906e-06,3.727564e-06,0.0002638309,0.0002638691
111000,-3.411724e-06,1.050952e-06,0.0002636314,0.0002636556
112000,-4.697367e-06,-1.396373e-06,0.0002623498,0.0002623956
113000,-5.970591e-06,-1.52368e-06,0.0002613933,0.0002614659
114000,-6.653478e-06,-1.331322e-06,0.0002605672,0.0002606555
115000,-7.123699e-06,-3.043462e-06,0.0002624409,0.0002625552
116000,-8.068835e-06,-4.660535e-06,0.0002584615,0.0002586295
117000,-8.687609e-06,-4.09432e-06,0.0002601587,0.0002603359
118000,-9.269643e-06,-4.144174e-06,0.0002581355,0.0002583352
119000,-9.425867e-06,-5.102277e-06,0.0002595749,0.0002597961
120000,-9.236693e-06,-5.838817e-06,0.0002574615,0.0002576933
121000,-1.045083e-05,-4.497051e-06,0.0002580262,0.0002582769
122000,-1.051154e-05,-5.135709e-06,0.0002573417,0.0002576075
123000,-1.039251e-05,-5.023653e-06,0.0002580177,0.0002582758
124000,-9.991531e-06,-4.877576e-06,0.0002564066,0.0002566476
125000,-1.161431e-05,-3.508954e-06,0.0002567588,0.0002570453
126000,-1.141809e-05,-3.24982e-06,0.0002579167,0.0002581898
127000,-1.104966e-05,-3.015848e-06,0.0002578821,0.0002581364
128000,-1.124133e-05,-2.608662e-06,0.0002555279,0.0002557883
129000,-1.200591e-05,-1.310972e-06,0.0002564627,0.0002567469
130000,-1.20082e-05,-7.515234e-07,0.0002581534,0.0002584336
131000,-1.241851e-05,-4.210612e-07,0.000257368,0.0002576677
132000,-1.239539e-05,9.275978e-08,0.0002550377,0.0002553388
133000,-1.250539e-05,1.09412e-06,0.0002560804,0.0002563879
134000,-1.347161e-05,1.275818e-06,0.0002573975,0.000257753
135000,-1.391094e-05,1.63781e-06,0.0002567225,0.0002571043
136000,-1.425462e-05,2.35692e-06,0.0002568252,0.0002572313
137000,-1.487783e-05,2.661999e-06,0.0002565379,0.0002569827
138000,-1.543314e-05,2.559416e-06,0.0002578974,0.0002583714
139000,-1.672633e-05,2.294379e-06,0.0002564048,0.00025696
140000,-1.736832e-05,2.351286e-06,0.0002581693,0.0002587636
141000,-1.812385e-05,2.583443e-06,0.0002578904,0.0002585394
142000,-1.938816e-05,2.010641e-06,0.0002580928,0.0002588279
143000,-1.99457e-05,1.483591e-06,0.000257852,0.0002586266
144000,-2.134045e-05,8.360062e-07,0.0002598503,0.0002607265
145000,-2.290279e-05,4.30185e-08,0.0002598318,0.0002608393
146000,-2.332695e-05,-1.225507e-06,0.0002608053,0.0002618493
147000,-2.478821e-05,-1.917223e-06,0.0002595235,0.0002607117
148000,-2.581438e-05,-2.86951e-06,0.0002599834,0.0002612776
149000,-2.696322e-05,-3.716931e-06,0.0002608565,0.0002622726
150000,-2.850825e-05,-5.343636e-06,0.0002611832,0.0002627888
151000,-2.89374e-05,-6.63022e-06,0.0002619205,0.0002635976
152000,-2.890296e-05,-7.04514e-06,0.0002622381,0.0002639201
153000,-2.986114e-05,-8.175557e-06,0.000262759,0.0002645767
154000,-3.068342e-05,-1.048758e-05,0.0002641429,0.0002661258
155000,-3.110163e-05,-1.187512e-05,0.0002624182,0.0002645215
156000,-3.139693e-05,-1.130769e-05,0.0002636013,0.0002657053
157000,-3.186073e-05,-1.277436e-05,0.0002625074,0.0002647421
158000,-3.208688e-05,-1.455611e-05,0.0002622333,0.0002645897
159000,-3.210474e-05,-1.552561e-05,0.0002627299,0.0002651391
160000,-3.194555e-05,-1.566236e-05,0.0002640677,0.0002664537
