 x, y, z
5.77344,25.56763,24.46327
5.80048,25.59204,24.72406
5.82627,25.61638,24.98421
5.8503,25.63986,25.2442
5.87301,25.66331,25.50471
5.89375,25.68731,25.76552
5.91343,25.71021,26.02749
5.93151,25.73208,26.28968
5.94749,25.75262,26.55064
5.96174,25.77233,26.81197
5.97444,25.79125,27.07503
5.98517,25.80799,27.33758
5.99447,25.82337,27.59959
6.00221,25.83744,27.86323
6.00836,25.84997,28.12961
6.0129,25.86051,28.39426
6.0159,25.86976,28.65722
6.01766,25.8773,28.92175
6.01813,25.88354,29.18718
6.01723,25.88761,29.45065
6.01497,25.8908,29.71284
6.01194,25.89204,29.97642
6.00791,25.89252,30.23995
6.00278,25.8912,30.50128
5.9968,25.88943,30.76207
5.99025,25.88614,31.02408
5.98311,25.88253,31.28544
5.97504,25.87788,31.54451
5.96666,25.87306,31.80362
5.95781,25.86765,0.06401
5.94865,25.86204,0.32315
5.93876,25.85597,0.58002
5.92885,25.84983,0.83618
5.91865,25.84397,1.09351
5.90825,25.83839,1.34938
5.89766,25.83338,1.6046
5.88707,25.82902,1.8595
5.87627,25.82504,2.11381
5.86537,25.82183,2.36753
5.85442,25.81955,2.62271
5.84318,25.81813,2.8771
5.83169,25.81727,3.13066
5.8202,25.81699,3.3853
5.80842,25.81758,3.63999
5.796,25.81897,3.89557
5.78322,25.82058,4.15171
5.77017,25.82257,4.40768
5.75672,25.82513,4.6642
